run,iteration,state,level,k,L,U,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,MS,county,4,738116,745533,7417,82,202,34,546.18,10000,4,69,60.04,60,6,282,1,10,20,34,34.0,881.17,3600,2,73898,True,745501.0,739424.0,6077.0
run1,2,MS,county,4,738148.0,745500.0,7352.0,82,202,34,546.18,10000,4,69,60.04,60,0,0,0,0,20,34,34.0,2151.08,3600,2,287787,True,744705.0,738619.0,6086.0
run1,3,MS,county,4,738620.0,745028.0,6408.0,82,202,34,546.18,10000,4,69,60.04,60,0,0,0,0,20,34,34.0,1575.60,3600,2,429496,True,744879.0,738835.0,6044.0
run1,4,MS,county,4,738770.0,744878.0,6108.0,82,202,34,546.18,10000,4,69,60.04,60,0,0,0,0,20,35,35.0,1021.92,3600,2,394276,True,744290.0,739424.0,4866.0
run1,5,MS,county,4,739359.0,744289.0,4930.0,82,202,34,546.18,10000,4,69,60.04,60,0,0,0,0,20,35,35.0,1083.25,3600,2,328256,True,742093.0,741358.0,735.0
run1,6,MS,county,4,741359.0,742289.0,930.0,82,202,34,546.18,10000,4,69,60.04,60,0,0,0,0,20,39,34.0,3600.07,3600,9,1358495,True,742199.0,741579.0,620.0
