run,iteration,state,level,k,L,U,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,NM,county,3,682962.0,689824.0,6862.0,33,78,17,158.72,10000,3,28,0.99,60,3,87,31,7,69,17,17.0,0.18,3600,2,1,True,689777.0,683772.0,6005.0
run1,2,NM,county,3,683010.0,689776.0,6766.0,33,78,17,158.72,10000,3,28,0.99,60,0,0,0,0,69,23,23.0,0.43,3600,2,129,True,689041.0,683634.0,5407.0
run1,3,NM,county,3,683635.0,689151.0,5516.0,33,78,17,158.72,10000,3,28,0.99,60,0,0,0,0,69,26,26.0,0.55,3600,2,568,True,687591.0,685656.0,1935.0
run1,4,NM,county,3,685196.0,687590.0,2394.0,33,78,17,158.72,10000,3,28,0.99,60,0,0,0,0,69,26,26.0,0.56,3600,2,877,True,687014.0,685656.0,1358.0
run1,4,NM,county,3,685657.0,687129.0,1472.0,33,78,17,158.72,10000,3,28,0.99,60,0,0,0,0,69,no_solution_found,inf,0.06,3600,3,0,n/a,687014.0,685656.0,1358.0
