run,iteration,state,level,k,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,AR,county,4,7289,75,192,33,420.52,10000,4,64,59.85,60,6,262,1,8,21,32,32.0,100.59,3600,2,17242,True,730951.0,724961.0,5990.0
run1,2,AR,county,4,5990.0,75,192,33,420.52,10000,4,64,59.85,60,0,0,0,0,21,33,33.0,101.21,3600,2,17650,True,729993.0,726489.0,3504.0
run1,3,AR,county,4,3504.0,75,192,33,420.52,10000,4,64,59.85,60,0,0,0,0,21,33,33.0,1140.03,3600,2,79978,True,730605.0,727249.0,3356.0
run1,4,AR,county,4,3356.0,75,192,33,420.52,10000,4,64,59.85,60,0,0,0,0,21,33,33.0,2712.97,3600,2,195273,True,730605.0,727368.0,3237.0
run1,5,AR,county,4,3237.0,75,192,33,420.52,10000,4,64,59.85,60,0,0,0,0,21,33,33.0,2682.15,3600,2,1075418,True,730605.0,727815.0,2790.0
run1,6,AR,county,4,2790.0,75,192,33,420.52,10000,4,64,59.85,60,0,0,0,0,21,34,34.0,2209.46,3600,2,453475,True,730362.0,727815.0,2547.0
run1,7,AR,county,4,2547.0,75,192,33,420.52,10000,4,64,59.85,60,0,0,0,0,21,34,34.0,1483.97,3600,2,356255,True,729607.0,728035.0,1572.0
run1,8,AR,county,4,1572.0,75,192,33,420.52,10000,4,64,59.85,60,0,0,0,0,21,36,36.0,808.62,3600,2,327686,True,729607.0,728267.0,1340.0
run1,9,AR,county,4,1340.0,75,192,33,420.52,10000,4,64,59.85,60,0,0,0,0,21,37,33.0,3600.04,3600,9,1127136,True,729607.0,728623.0,984.0
