run,iteration,state,level,k,L,U,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,AR,county,4,725335.0,732624.0,7289.0,75,192,33,420.52,10000,4,64,11.49,60,6,262,1,8,20,33,33.0,38.21,3600,2,34045,True,729993.0,726489.0,3504.0
run1,2,AR,county,4,726490.0,731468.0,4978.0,75,192,33,420.52,10000,4,64,11.49,60,0,0,0,0,20,33,33.0,42.62,3600,2,41491,True,730605.0,727815.0,2790.0
run1,3,AR,county,4,727354.0,730604.0,3250.0,75,192,33,420.52,10000,4,64,11.49,60,0,0,0,0,20,34,34.0,234.94,3600,2,58846,True,730362.0,727815.0,2547.0
run1,4,AR,county,4,727597.0,730361.0,2764.0,75,192,33,420.52,10000,4,64,11.49,60,0,0,0,0,20,34,34.0,323.05,3600,2,67176,True,729607.0,728035.0,1572.0
run1,5,AR,county,4,728036.0,729922.0,1886.0,75,192,33,420.52,10000,4,64,11.49,60,0,0,0,0,20,61,33.0,3600.07,3600,9,1829173,True,729607.0,728262.0,1345.0
