run,iteration,state,level,k,L,U,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,AR,county,4,725335,732624,7289,75,192,33,420.52,10000,4,64,11.58,60,6,262,1,8,20,33,33.0,29.59,3600,2,24749,True,729993.0,726489.0,3504.0
run1,2,AR,county,4,726490.0,731468.0,4978.0,75,192,33,420.52,10000,4,64,11.58,60,0,0,0,0,20,33,33.0,362.57,3600,2,90334,True,730605.0,727368.0,3237.0
run1,3,AR,county,4,727354.0,730604.0,3250.0,75,192,33,420.52,10000,4,64,11.58,60,0,0,0,0,20,34,34.0,835.75,3600,2,156663,True,730362.0,727815.0,2547.0
run1,4,AR,county,4,727597.0,730361.0,2764.0,75,192,33,420.52,10000,4,64,11.58,60,0,0,0,0,20,34,34.0,1212.09,3600,2,273958,True,729607.0,728035.0,1572.0
run1,5,AR,county,4,728036.0,729922.0,1886.0,75,192,33,420.52,10000,4,64,11.58,60,0,0,0,0,20,36,36.0,1014.88,3600,2,240847,True,729894.0,728070.0,1824.0
run1,6,AR,county,4,728065.0,729893.0,1828.0,75,192,33,420.52,10000,4,64,11.58,60,0,0,0,0,20,36,32.0,3600.07,3600,9,1490384,True,729607.0,728213.0,1394.0
