run,iteration,state,level,k,L,U,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,ID,tract,2,775954,791628,7837,298,792,17,2836.42,10000,2,291,4.88,60,1,583,1,6,8,17,17.0,2.70,3600,2,391,True,787161.0,780421.0,6740.0
run1,2,ID,tract,2,775954,791628,6740.0,298,792,17,2836.42,10000,2,291,4.88,60,0,0,0,0,8,19,19.0,14.28,3600,2,2588,True,786736.0,780846.0,5890.0
run1,3,ID,tract,2,775954,791628,5890.0,298,792,17,2836.42,10000,2,291,4.88,60,0,0,0,0,8,19,19.0,15.44,3600,2,4225,True,786292.0,781290.0,5002.0
run1,4,ID,tract,2,775954,791628,5002.0,298,792,17,2836.42,10000,2,291,4.88,60,0,0,0,0,8,19,19.0,15.59,3600,2,3674,True,784014.0,783568.0,446.0
run1,5,ID,tract,2,775954,791628,446.0,298,792,17,2836.42,10000,2,291,4.88,60,0,0,0,0,8,19,19.0,20.37,3600,2,6805,True,783839.0,783743.0,96.0
run1,6,ID,tract,2,775954,791628,96.0,298,792,17,2836.42,10000,2,291,4.88,60,0,0,0,0,8,21,21.0,557.99,3600,2,179839,True,783797.0,783785.0,12.0
run1,7,ID,tract,2,775954,791628,12.0,298,792,17,2836.42,10000,2,291,4.88,60,0,0,0,0,8,25,25.0,2886.72,3600,2,1868994,True,783794.0,783788.0,6.0
run1,8,ID,tract,2,775954,791628,6.0,298,792,17,2836.42,10000,2,291,4.88,60,0,0,0,0,8,25,25.0,1339.70,3600,2,1004906,True,783791.0,783791.0,0.0
run1,8,ID,tract,2,775954,791628,0.0,298,792,17,2836.42,10000,2,291,4.88,60,0,0,0,0,8,no_solution_found,inf,0.02,3600,3,0,n/a,783791.0,783791.0,0.0
