run,iteration,state,level,k,L,U,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,OK,county,5,742768,757772,7502,77,195,40,379.33,10000,5,64,60.03,60,10,330,86,30,251,40,40.0,7.04,3600,2,3156,True,752906.0,747270.0,5636.0
run1,2,OK,county,5,742768,757772,5636.0,77,195,40,379.33,10000,5,64,60.03,60,0,0,0,0,251,42,42.0,43.61,3600,2,42935,True,752906.0,747714.0,5192.0
run1,3,OK,county,5,742768,757772,5192.0,77,195,40,379.33,10000,5,64,60.03,60,0,0,0,0,251,42,42.0,23.80,3600,2,22095,True,752906.0,747976.0,4930.0
run1,4,OK,county,5,742768,757772,4930.0,77,195,40,379.33,10000,5,64,60.03,60,0,0,0,0,251,43,43.0,71.98,3600,2,56779,True,752906.0,748413.0,4493.0
run1,5,OK,county,5,742768,757772,4493.0,77,195,40,379.33,10000,5,64,60.03,60,0,0,0,0,251,43,43.0,337.67,3600,2,417499,True,752906.0,748503.0,4403.0
run1,6,OK,county,5,742768,757772,4403.0,77,195,40,379.33,10000,5,64,60.03,60,0,0,0,0,251,43,43.0,455.88,3600,2,210598,True,752906.0,748682.0,4224.0
run1,6,OK,county,5,742768,757772,4224.0,77,195,40,379.33,10000,5,64,60.03,60,0,0,0,0,251,no_solution_found,42.0,3600.02,3600,9,894137,n/a,752906.0,748682.0,4224.0
