run,iteration,state,level,k,L,U,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,ID,county,2,779873.0,787709.0,7836.0,44,102,10,538.52,10000,2,41,0.06,60,1,83,1,2,5,10,10.0,0.25,3600,2,11,True,787060.0,780522.0,6538.0
run1,2,ID,county,2,780523.0,787059.0,6536.0,44,102,10,538.52,10000,2,41,0.06,60,0,0,0,0,5,10,10.0,0.16,3600,2,1,True,787059.0,780523.0,6536.0
run1,3,ID,county,2,780523.0,787059.0,6536.0,44,102,10,538.52,10000,2,41,0.06,60,0,0,0,0,5,10,10.0,0.31,3600,2,42,True,787059.0,780523.0,6536.0
run1,4,ID,county,2,780523.0,787059.0,6536.0,44,102,10,538.52,10000,2,41,0.06,60,0,0,0,0,5,10,10.000003478860759,0.33,3600,2,36,True,787059.0,780523.0,6536.0
run1,5,ID,county,2,780523.0,787059.0,6536.0,44,102,10,538.52,10000,2,41,0.06,60,0,0,0,0,5,9,9.999998292413252,0.32,3600,2,54,True,787059.0,780523.0,6536.0
run1,5,ID,county,2,780523.0,787059.0,6536.0,44,102,10,538.52,10000,2,41,0.06,60,0,0,0,0,5,no_solution_found,-inf,0.07,3600,11,0,n/a,787059.0,780523.0,6536.0
