run,iteration,state,level,k,max_dev,n,m,heur_obj,heur_time,heur_iter,B_q,B_size,B_time,B_timelimit,DFixings,LFixings,UFixings_X,UFixings_R,ZFixings,MIP_obj,MIP_bound,MIP_time,MIP_timelimit,MIP_status,MIP_nodes,connected,max_dist,min_dist,found_dev
run1,1,IA,county,4,7615,99,222,33,560.04,10000,4,85,60.15,60,6,346,1,11,16,32,32.0,188.42,3600,2,22350,True,765897.0,759188.0,6709.0
run1,2,IA,county,4,6709.0,99,222,33,560.04,10000,4,85,60.15,60,0,0,0,0,16,33,33.0,303.16,3600,2,45896,True,763967.0,758443.0,5524.0
run1,3,IA,county,4,5524.0,99,222,33,560.04,10000,4,85,60.15,60,0,0,0,0,16,33,33.0,2759.89,3600,2,302202,True,764405.0,759886.0,4519.0
run1,4,IA,county,4,4519.0,99,222,33,560.04,10000,4,85,60.15,60,0,0,0,0,16,33,33.0,1769.69,3600,2,365729,True,763749.0,759392.0,4357.0
run1,5,IA,county,4,4357.0,99,222,33,560.04,10000,4,85,60.15,60,0,0,0,0,16,33,33.0,1610.65,3600,2,500027,True,763236.0,759886.0,3350.0
run1,6,IA,county,4,3350.0,99,222,33,560.04,10000,4,85,60.15,60,0,0,0,0,16,35,32.0,3600.08,3600,9,1108444,True,762964.0,760075.0,2889.0
